pl_rade,log_pl_orbper,st_teff,pl_class
6.11,0.9747028001265772,5576.0,Terrestrial
10.16,1.213222715330927,4908.0,Terrestrial
1.42,0.3334291365294253,6211.0,Terrestrial
2.58,0.7678934657438253,6211.0,Terrestrial
1.52,0.9101562456934776,6211.0,Terrestrial
2.354,0.7322972392131917,5875.23,Terrestrial
0.92,0.9825018907200566,5875.23,Terrestrial
18.181,0.6889080575580042,5933.0,Jovian
10.76,0.8657381264586071,6000.0,Jovian
11.77,0.9486531111707872,5200.0,BrownDwarf
15.244,0.1889087503205436,6409.0,Jovian
10.761,0.5537351072015961,5520.0,Jovian
15.872,0.5468508908189856,6213.0,Jovian
8.29,1.2841804630035114,5774.0,Jovian
8.08,1.5909008805560083,5774.0,Jovian
1.64,0.2021751525090498,5777.0,Terrestrial
15.323,0.7956423063599194,4550.0,Jovian
1.569,0.6745617140713096,5669.0,Terrestrial
3.51,0.3993379218545418,4781.0,Terrestrial
3.42,1.0615693308043683,5699.0,Terrestrial
2.67,1.2105459096459346,5690.0,Terrestrial
1.48,0.4127359892527471,5779.0,Terrestrial
1.99,0.1879942383995306,5539.0,Terrestrial
1.48,0.6630956946269994,4782.0,Terrestrial
1.39,0.1465931020963049,3800.0,Terrestrial
0.85,0.3527830890204966,3415.0,Terrestrial
1.385,0.5671061207244746,3415.0,Terrestrial
1.521,0.8721985051044963,3415.0,Terrestrial
1.635,1.393345975676799,2988.0,Terrestrial
1.169,0.577252757205082,2988.0,Terrestrial
1.242,0.2899316602330402,3381.0,Terrestrial
4.7,0.6076734023403816,3950.0,Terrestrial
1.305,0.7290647689074696,3340.0,Terrestrial
1.147,0.4946976096915605,3340.0,Terrestrial
1.332,-0.1143855153823691,3331.0,Terrestrial
2.3,1.088203443437716,3331.0,Terrestrial
4.72,-0.1012463050623751,5443.0,Terrestrial
9.976,0.5926263692487573,5000.0,Terrestrial
17.901,0.3321907020252186,7490.0,Jovian
17.15,0.4508739195016151,7800.0,Jovian
14.908,0.4228028315435461,3916.0,Jovian
13.507,-0.1152644335147316,4600.0,Terrestrial
9.158,1.5496815319193296,5050.0,Jovian
11.747,0.8769567827499342,5690.0,Jovian
12.801,0.6147946387426715,5819.0,Terrestrial
4.977,0.5484775335021858,5187.0,Terrestrial
12.33,0.5153743827784188,5600.0,Jovian
14.572,0.6853224644920396,5550.0,Jovian
13.899,0.5108840028823121,5650.0,Jovian
13.563,0.484477792425245,5610.0,Jovian
17.878,0.6542886158364299,6478.0,Jovian
11.994,1.7339123388107889,5980.0,Terrestrial
14.908,0.1884755976062441,4660.0,Terrestrial
16.589,0.224111460309079,5600.0,Jovian
3.18,0.1262453418326663,5143.0,Terrestrial
12.733,0.5259496076889799,4987.0,Jovian
14.863,-0.0545023643948776,4730.0,Jovian
12.218,0.3978878902070387,5241.0,Jovian
11.994,0.6469200629368357,6330.0,Terrestrial
14.011,0.4915406983413211,5950.0,Jovian
11.422,0.6036256528681431,5040.0,Jovian
12.251,0.1560871118984964,4790.0,Jovian
13.45,0.2278527820630648,6210.0,Jovian
12.666,0.599784853673271,5924.0,Jovian
15.244,0.5655219756056601,6325.0,Jovian
15.278,0.0834735583938509,6050.0,Jovian
18.046,0.3954196209319073,6933.0,Terrestrial
6.18,2.1408755608212817,6407.0,Terrestrial
10.12,2.4510576521890703,5629.0,BrownDwarf
10.548,0.4997736030519729,4400.0,Terrestrial
12.812,0.1522957456766527,5013.0,Jovian
17.295,0.2162506408444093,6124.0,Jovian
14.056,0.1261692382831135,4645.0,Terrestrial
12.285,0.3993137481118816,6007.0,Terrestrial
12.722,0.2565629498839681,5215.0,Terrestrial
12.408,0.4592766453693706,5747.0,Terrestrial
11.904,0.5448360660843438,5052.0,Jovian
19.055,0.3079335349701725,6387.0,Jovian
14.404,0.5699529729094541,5738.0,Jovian
11.31,0.1877268207992507,4309.0,Terrestrial
12.52,1.1809530862133713,5788.0,Terrestrial
16.701,0.5634844078531481,5988.0,Jovian
2.265,0.6141544858612905,5328.0,Terrestrial
2.587,0.8091466354934924,4734.0,Terrestrial
2.651,1.0873047807209737,4734.0,Jovian
1.791,-0.2184364751303123,3875.0,Terrestrial
16.814,0.9217062913426096,4250.0,Jovian
2.415,0.3965456504065714,3476.0,Terrestrial
3.65,1.3846326851927624,3553.0,Terrestrial
1.694,0.537153548337441,3997.0,Terrestrial
3.01,0.6342192367061608,5151.0,Terrestrial
2.51,0.7711569412341489,5151.0,Terrestrial
3.51,1.2708162051648664,5151.0,Jovian
3.78,1.578886652941127,5151.0,Terrestrial
2.726,0.6678095816755699,5320.0,Terrestrial
2.759,0.96144909685154,5320.0,Terrestrial
2.93,1.3005954838899636,5320.0,Terrestrial
11.456,0.5413268305393732,4775.0,Jovian
2.41,0.4951921803987484,4227.0,Terrestrial
2.76,0.8746634991722658,4227.0,Terrestrial
3.12,1.2203216247005997,4227.0,Terrestrial
2.37,1.0372209762321192,3600.0,Terrestrial
1.56,1.2741927300260762,3600.0,Terrestrial
9.1,0.9115682304951336,5300.0,Jovian
4.14,0.5206132121824074,4985.0,Terrestrial
12.218,1.1606386739931798,3799.0,BrownDwarf
5.24,0.4313372231296646,5225.0,Terrestrial
13.798,0.5959778121520029,5603.0,Jovian
9.427,0.6567844775264933,5889.0,Jovian
3.42,0.3242210940032985,5397.0,Terrestrial
