pl_name,log_pl_bmasse,pl_rade,log_pl_densitye,log_pl_orbper,log_pl_orbsmax,st_teff,log_st_mass,pl_class,pl_class2
Kepler-96 b,0.9273703630390235,2.67,-0.477102157663002,1.2105459096459346,-0.9083330424043154,5690.0,0.0,Terrestrial,SuperEarth
Kepler-97 b,0.5453071164658241,1.48,-0.090416766327348,0.4127359892527471,-1.448550002027125,5779.0,-0.026872146400301365,Terrestrial,SuperEarth
Kepler-98 b,0.5502283530550941,1.99,-0.47126961278232576,0.18799423839953067,-1.5917600346881504,5539.0,-0.004364805402450088,Terrestrial,SuperEarth
Kepler-99 b,0.7888751157754168,1.48,0.15315123298224473,0.6630956946269994,-1.2984320149440727,4782.0,-0.10237290870955855,Terrestrial,SuperEarth
L 168-9 b,0.6627578316815741,1.39,0.10877469431098893,0.1465931020963049,-1.679645967182328,3800.0,-0.20760831050174613,Terrestrial,SuperEarth
L 98-59 b,-0.3979400086720376,0.85,-0.3111355224232157,0.35278308902049665,-1.6593576224392947,3415.0,-0.5686362358410126,Terrestrial,Terrestrial
L 98-59 c,0.3463529744506387,1.385,-0.20293508235906338,0.5671061207244746,-1.5171264163912463,3415.0,-0.5686362358410126,Terrestrial,SuperEarth
L 98-59 d,0.287801729930226,1.521,-0.38352464883706905,0.8721985051044963,-1.3133637307377066,3415.0,-0.5686362358410126,Terrestrial,Terrestrial
LHS 1140 b,0.8048206787211624,1.635,0.039328671123947716,1.393345975676799,-1.0190880622231564,2988.0,-0.721246399047171,Terrestrial,SuperEarth
LHS 1140 c,0.24551266781414982,1.169,-0.0828696022796705,0.577252757205082,-1.5632014897681965,2988.0,-0.721246399047171,Terrestrial,Terrestrial
LHS 1478 b,0.367355921026019,1.242,-0.0399476031039651,0.28993166023304023,-1.733298033115912,3381.0,-0.619788758288394,Terrestrial,SuperEarth
LP 714-47 b,1.4885507165004443,4.7,-0.6526815939150081,0.6076734023403816,-1.3798639450262424,3950.0,-0.22914798835785583,Terrestrial,Neptunian
LTT 1445 A b,0.4578818967339923,1.305,-0.013888374897206773,0.7290647689074696,-1.4187331947263295,3340.0,-0.585026652029182,Terrestrial,SuperEarth
LTT 1445 A c,0.18752072083646307,1.147,-0.11610826947563993,0.49469760969156057,-1.5749551254486112,3340.0,-0.585026652029182,Terrestrial,Terrestrial
LTT 3780 b,0.41830129131974547,1.332,-0.0801501197914014,-0.11438551538236912,-1.9168558568569478,3331.0,-0.3979400086720376,Terrestrial,SuperEarth
LTT 3780 c,0.9344984512435677,2.3,-0.2756237934175107,1.0882034434377161,-1.1150348017992673,3331.0,-0.3979400086720376,Terrestrial,SuperEarth
LTT 9779 b,1.4671639659690903,4.72,-0.6796007665414728,-0.10124630506237516,-1.7749493038619513,5443.0,-0.11350927482751812,Terrestrial,Neptunian
