pl_rade,log_pl_orbper,st_teff,pl_class,pl_class2
11.478,0.5792713071107873,3405.0,Jovian,Jovian
8.097,0.8649823433055726,4656.1,Jovian,Neptunian
11.568,0.23851179360196753,3776.9,Terrestrial,Jovian
9.909,0.4453948820483283,3790.4,Jovian,Jovian
12.094,0.288169224828037,4016.0,Terrestrial,Jovian
13.058,0.489624717472102,4071.0,Jovian,Jovian
9.785,0.5543550349735561,5679.0,Jovian,Neptunian
13.85,0.2822347679093358,5599.0,Jovian,Jovian
2.44,0.9801111360053748,6327.0,Terrestrial,Neptunian
4.35,1.3233973221194226,6327.0,Jovian,Neptunian
3.2,1.0078633753895851,6200.0,Terrestrial,Neptunian
2.05,0.40500466505036936,5732.0,Terrestrial,SuperEarth
11.209,2.040404528914159,6651.0,BrownDwarf,Jovian
13.138,0.7877083696100172,5864.0,Terrestrial,Jovian
1.664,1.0636324199197347,5664.0,Terrestrial,SuperEarth
2.916,1.4407864867193712,5664.0,Terrestrial,Neptunian
2.562,2.0303770535558,5664.0,Terrestrial,SuperEarth
1.31,0.20982587955424253,5799.0,Terrestrial,SuperEarth
11.5,1.0620300232289386,5521.0,Jovian,Jovian
8.295,0.45877227068628956,6179.0,Jovian,Jovian
3.41,1.0654452605440228,6310.0,Terrestrial,Neptunian
1.64,0.6772555429914421,5125.0,Terrestrial,SuperEarth
2.39,1.2349827110941602,5125.0,Terrestrial,SuperEarth
12.33,1.326676402721162,6040.0,Terrestrial,Jovian
3.55,1.2423246741900058,5788.0,Terrestrial,Neptunian
2.6,0.616731225963823,5145.0,Terrestrial,Neptunian
12.666,0.34607424599059544,5052.0,Jovian,Jovian
3.41,0.9484288896176689,5348.0,Terrestrial,SuperEarth
3.195,1.45605831913012,5348.0,Terrestrial,SuperEarth
2.995,1.5837997594223996,5348.0,Jovian,SuperEarth
3.74,2.4533183400470375,5348.0,Terrestrial,Neptunian
17.318,0.5196912547742379,6272.0,Jovian,Jovian
1.72,-0.03333367478247137,5596.0,Terrestrial,SuperEarth
2.501,1.209572889808771,5070.0,Terrestrial,Neptunian
15.581,0.5471281454778968,6091.0,Jovian,Jovian
1.745,0.003475611517223264,5978.0,Terrestrial,SuperEarth
1.602,0.49036952938691153,4699.0,Terrestrial,SuperEarth
1.511,0.8302408372463052,4699.0,Terrestrial,SuperEarth
4.71,0.7807542676240053,5527.0,Jovian,Neptunian
9.17,1.1546278336717117,5080.0,Jovian,Jovian
2.0,1.2471649476891806,4684.0,Terrestrial,SuperEarth
1.87,1.474179682698408,4684.0,Terrestrial,SuperEarth
0.75,0.5995162766560403,4684.0,Terrestrial,Terrestrial
0.818,0.8980413974559665,4684.0,Terrestrial,Terrestrial
1.137,1.085011565936659,4684.0,Terrestrial,Terrestrial
1.24,0.442406073856738,3803.0,Terrestrial,SuperEarth
1.533,0.7563226337974259,3803.0,Terrestrial,SuperEarth
16.141,0.6156218407951487,6801.0,Jovian,Jovian
2.199,1.3596655242604245,6120.0,Terrestrial,Neptunian
4.23,1.7482515379300556,6120.0,Jovian,SuperEarth
3.25,1.9256214032486372,6120.0,Jovian,SuperEarth
1.627,-0.017885195429319094,5300.0,Terrestrial,SuperEarth
2.923,1.4748933345138306,5300.0,Terrestrial,Neptunian
9.718,1.2721211371765087,6089.0,Jovian,Jovian
2.45,1.1565235895932955,6203.0,Terrestrial,SuperEarth
13.5,2.9334872878487053,4934.0,Terrestrial,Jovian
2.79,0.8060470866871896,4511.0,Terrestrial,Neptunian
2.39,1.2759960091705884,4511.0,Terrestrial,SuperEarth
11.994,2.0470282427463946,5561.0,Terrestrial,Jovian
1.613,-0.1429251407280992,5910.0,Terrestrial,SuperEarth
2.16,0.6003651113953417,5863.0,Terrestrial,SuperEarth
7.398,1.0724079946824485,5576.0,Jovian,Neptunian
1.35,0.016672098296183265,5987.0,Terrestrial,SuperEarth
3.228,0.5617141892258132,5987.0,Terrestrial,Neptunian
3.89,1.7410491216395743,5212.0,Terrestrial,Neptunian
2.12,0.977253014067778,5212.0,Terrestrial,SuperEarth
2.466,0.9600186476802438,5089.0,Terrestrial,Neptunian
22.754,-0.00834276875648569,4590.0,Jovian,Jovian
2.74,1.012369368342684,5198.0,Terrestrial,Neptunian
3.84,1.2856563078643108,5620.0,Terrestrial,Neptunian
3.59,0.9173475593863744,5636.0,Terrestrial,Neptunian
15.98,0.520347131064638,6061.0,Jovian,Jovian
5.33,0.67522816185362,5599.0,Terrestrial,Jovian
2.56,1.1418844773928667,4950.0,Terrestrial,Neptunian
1.82,0.7284998752157934,5775.0,Terrestrial,SuperEarth
12.14,0.7647502025649864,5660.0,Terrestrial,Jovian
10.447,1.0565592249627604,4920.0,Terrestrial,Jovian
12.06,1.3069097727097996,5657.0,Jovian,Jovian
1.5,-0.4326077566107198,5200.0,Terrestrial,SuperEarth
14.572,0.9626108063531754,4840.0,Jovian,Jovian
3.013,1.6229179627992922,5356.3,Jovian,SuperEarth
9.11,1.4530218634735559,5370.0,Jovian,Jovian
13.563,0.8175116908819576,5585.0,Jovian,Jovian
1.51,-0.5523390987286104,4599.0,Terrestrial,SuperEarth
2.37,1.5177186242825325,3457.0,Terrestrial,SuperEarth
2.52,0.9477106360174244,5306.0,Terrestrial,Neptunian
7.0,0.8988458021934915,5322.0,Jovian,Neptunian
4.1,1.0755214139068972,5322.0,Jovian,Neptunian
1.11,0.3993448481803675,5322.0,Terrestrial,SuperEarth
