,Hot Sauce,Brand Name,Ingredients,Scoville Rating (SHU),# of Seasons,7-pot,adobo,aji,aka,amarillo,anaheim,ancho,apollo,arbol,bell,bhut jolokia,bird,calabrian,capsicum,carolina reaper,cayenne,cherry,chili,chipotle,chocolate bhutlah,datil,fatalli,fijian bongo,fresno,guajillo,habanero,hatari,jalapeno,jigsaw,manzano,pasilla,peach,pepperoncini,pepperx,piquin,primo,scorpion,scotch bonnet,serrano,sivathei,tabasco,tepin,with_chili,with_cayenne,with_habanero,totalpepperpersauce
38,Dirty Dick’s Hot Pepper Sauce With a Tropical Twist,Dingo Sauce Co.,"Habanero Peppers, Mangoes, Pineapple, Vinegar, Bananas, Brown Sugar, Raisins, Onions, Garlic, Salt, Spices",21000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39,Double Take Salsa Co. Scotch Bonnet Mustard Hot Sauce,Double Take Salsa Co.,"Yellow Deli Mustard (Distilled Vinegar, Water, #1 Grade Mustard Seed, Salt, Turmeric, Paprika, Spice, Natural Flavors, And Garlic Powders), Orange Juice, Lime Juice, Scotch Bonnet Chile Peppers, Brown Sugar (Sugar, Cane Molasses), Spices",37000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
40,El Yucateco Caribbean Hot Sauce,El Yucateco,"Water, Habanero Chile (28%), Carrot, Salt, Spices, Acetic Acid, Onion Powder, Citric Acid, Xanthan Gum, Preservatives (Sodium Benzoate E-211, Potassium Sorbate E-202)",5790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
41,El Yucateco Chile Habanero Hot Sauce,El Yucateco,"Water, Habanero Peppers, Salt, Acetic Acid (Ph Control Agent), Spices, Xanthan Gum (Stabilizer), Citric Acid, Onion Powder, Colored with Turmeric, Fruit Juice and Vegetable Juice, Sodium Benzoate",5790,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42,Fiji Fire Native Bongo Chilli Hot Sauce,Fiji Fire,"Naturally Brewed Vinegar, Fresh Fijian Bongo Chillies (30%), Sweet Carrots, Wild Fijian Turmeric, Tasman Sea Salt",14300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,Fly By Jing Sichuan Gold Hot Sauce,Fly By Jing,"Non-GMO soybean oil, non-GMO sichuan rapeseed oil, chili peppers, sichuan peppers, ginger, garlic, rock sugar, star anise, cassia bark, green onions, chili oil extract",46000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
44,Fresno Sauce Company Chipotle & Habanero Hot Sauce,Fresno Sauce Company,"Habanero Peppers, Chipotle Chili Powder, Carrots, Distilled White Vinegar, Olive Oil, Garlic, Salt, Organic Sugar, Black Pepper, Water",12400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
45,Halogi Hot Sauce Tyrfing's Curse Hot Sauce,Halogi Hot Sauce,"Yellow Bell Pepper, Red Onion, White Wine Vinegar, Baby Carrots, Orange Juice, Apple Cider Vinegar, Water, Ghost Peppers, Scorpion Peppers, Habanero Pepper, Garlic, Ginger, Spices, Cayenne Pepper",99000,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5
46,Heartbeat Hot Sauce Red Habanero Hot Sauce,Heartbeat Hot Sauce,"Bell Pepper, Onion, White Vinegar, Sugar, Red Habanero, Garlic, Lime Juice, Kosher Salt, Canola Oil",4000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
47,Heartbeat Hot Sauce Scorpion Hot Sauce,Heartbeat Hot Sauce,"Vinegar, red peppers, habaneros, beets, onions, garlic, Trinidad Scorpion Peppers, Chipotles in Adobo (red chipotle pepper, water, vinegar, sugar, salt, tomato paste, smoke essence, onion, garlic), salt, lemon juice, canola oil, spices",66000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
48,Heartbeat Pineapple Habanero Hot Sauce,Heartbeat Hot Sauce,"pineapple, yellow peppers, onion, distilled vinegar, Habaneros, organic cane sugar, lime juice, kosher salt, garlic, ale (water, hops, malted barley, yeast)",12200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
49,Hellfire Detroit Bourbon Habanero Ghost Hot Sauce,Hellfire Detroit,"Apple cider vinegar, fire-roasted habanero, water, bourbon, sea salt, lime juice, smoked ghost chili pepper, olive oil, black pepper",89000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
50,Hellfire Detroit Habanero Hot Sauce,Hellfire Detroit,"Fire-roasted Habanero, apple cider vinegar, distilled water, olive oil, sea salt",66000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
51,Hellfire Devil's Blend Hot Sauce,Hellfire Detroit,"Fire Roasted Jalapeño Peppers, Distilled Vinegar, Jalapeño, Hot Cherry, Cayenne, Jolokia, 7-Pot, Moruga Scorpion, Carolina Reaper, Tomatillos, Granny Smith Green Apples, Roasted Garlic, Scallions, Cilantro, Sea Salt, Lime Juice, Cumin",42000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7
52,Hellfire Fear This! Hot Sauce,Hellfire Detroit,"Carolina Reaper Peppers, Distilled Vinegar, Garlic, Red Wine Vinegar, Apple Cider Vinegar, Sun-Dried Tomatoes, Onions, Salt, Cilantro, Curry, Chili Powder, Black Pepper, Paprika, Cumin, Lime Juice, Lemon Juice, Coriander, Ginger",679000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
53,Hellfire Fiery Fool Hot Sauce,Hellfire Detroit,"Bhut Jolokia Peppers, Trinidad Scorpion Peppers, Red 7-Pot Peppers, Chocolate Habanero Peppers, Carribean Red Peppers, Carolina Reaper Peppers, Sun-Dried Tomatoes, Garlic, Sea Salt, Cumin, Lemon Juice",550000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6
54,Hellfire Hot Sauce Kranked Hot Sauce,Hellfire Detroit,"Reaper pepper mash (Reaper peppers, vinegar), apple cider vinegar, red wine vinegar, black garlic, garlic (garlic, water), sea salt, brown sugar (cane sugar and molasses), chili powder, cumin, onions, black pepper, curry powder (spices, turmeric, salt, contains mustard), oregano, paprika, ginger, cloves, turmeric, lemon juice from concentrate, lime juice from concentrate",699000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
55,High Desert Sauce Co. Tikk-Hot Masala Hot Sauce,High Desert Sauce Co.,"Distilled Vinegar, Roma Tomato, Unsweetened Coconut Milk, Ghost Pepper, Anaheim Chili, Onion, Water, Agave Nectar, Tomato Paste, Carolina Reaper Pepper, Apple Cider Vinegar, Kosher Salt, Fresh Ginger, Fresh Garlic, Toasted Peppercorns, Toasted Cumin Seed, Garam Masala, Turmeric, Coriander",72000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
